ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCR083W,TRX3,,dma595,269,67,0.2490706319702602,1.0,0.2985074626865671,0.0298507462686567,0.044776119402985,0.0149253731343283,0.0895522388059701,0.0,0.0,0.0298507462686567,0.0746268656716417,0.1492537313432835,0.1492537313432835,0.1194029850746268
YNL097C,PHO23,,dma4020,266,146,0.5488721804511278,1.0,0.1506849315068493,0.0273972602739726,0.0616438356164383,0.0684931506849315,0.0753424657534246,0.0753424657534246,0.0,0.0342465753424657,0.1232876712328767,0.0958904109589041,0.1301369863013698,0.1575342465753424
YGR068C,ART5,,dma5190,464,126,0.271551724137931,1.0,0.1428571428571428,0.0476190476190476,0.1269841269841269,0.0396825396825396,0.1111111111111111,0.1349206349206349,0.0079365079365079,0.0396825396825396,0.0952380952380952,0.0476190476190476,0.1111111111111111,0.0952380952380952
YBR095C,RXT2,,dma259,671,246,0.3666169895678092,1.0,0.1504065040650406,0.040650406504065,0.1382113821138211,0.008130081300813,0.0609756097560975,0.1300813008130081,0.0121951219512195,0.073170731707317,0.089430894308943,0.089430894308943,0.1016260162601626,0.1056910569105691
YBR212W,NGR1,,dma350,328,93,0.2835365853658536,1.0,0.1182795698924731,0.0,0.1612903225806451,0.043010752688172,0.0967741935483871,0.086021505376344,0.0,0.032258064516129,0.1397849462365591,0.0967741935483871,0.1075268817204301,0.1182795698924731
YHR186C,KOG1,kog1-1,tsa291-37C,1185,494,0.4168776371308016,1.0,0.0587044534412955,0.0991902834008097,0.1842105263157894,0.0161943319838056,0.0931174089068826,0.1255060728744939,0.0,0.0890688259109311,0.1012145748987854,0.0506072874493927,0.1052631578947368,0.0769230769230769
YLR026C,SED5,sed5-1,tsa198-37C,1136,417,0.3670774647887324,1.0,0.0551558752997601,0.1151079136690647,0.1414868105515587,0.0311750599520383,0.0503597122302158,0.1103117505995203,0.0023980815347721,0.1175059952038369,0.105515587529976,0.0647482014388489,0.1079136690647482,0.0983213429256594
YMR168C,CEP3,cep3-1,tsa294-37C,605,248,0.4099173553719008,1.0,0.0524193548387096,0.0927419354838709,0.1290322580645161,0.0080645161290322,0.0685483870967741,0.1451612903225806,0.0080645161290322,0.1209677419354838,0.0887096774193548,0.0564516129032258,0.1048387096774193,0.125
YJR065C,ARP3,arp3-g302y,tsa296-37C,268,80,0.2985074626865671,1.0,0.0375,0.2375,0.025,0.0,0.025,0.1125,0.0,0.05,0.0875,0.0625,0.1875,0.175
YML130C,ERO1,ero1-1,tsa203-37C,879,656,0.7463026166097838,1.0,0.0472560975609756,0.2332317073170731,0.0945121951219512,0.024390243902439,0.0335365853658536,0.0746951219512195,0.0060975609756097,0.0198170731707317,0.2286585365853658,0.0289634146341463,0.1996951219512195,0.0091463414634146
