ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YHR191C,CTF8,ctf8-9,tsa323,592,112,0.1891891891891892,1.0,0.0,0.1071428571428571,0.0,0.0178571428571428,0.1071428571428571,0.0,0.0357142857142857,0.1607142857142857,0.0446428571428571,0.0803571428571428,0.1160714285714285,0.3303571428571428
YGL116W,CDC20,cdc20-1,tsa898,1072,180,0.167910447761194,1.0,0.0388888888888888,0.1055555555555555,0.0055555555555555,0.0833333333333333,0.0611111111111111,0.0,0.1333333333333333,0.0611111111111111,0.0833333333333333,0.1,0.1111111111111111,0.2166666666666666
YHR166C,CDC23,cdc23-1,tsa86-37C,1308,335,0.2561162079510703,1.0,0.0328358208955223,0.0208955223880597,0.053731343283582,0.0477611940298507,0.008955223880597,0.0,0.1313432835820895,0.0507462686567164,0.0955223880597015,0.0567164179104477,0.3701492537313433,0.1313432835820895
YER069W,"ARG5,6","arg5,6",tsa183-37C,1487,401,0.269670477471419,1.0,0.0773067331670823,0.1371571072319202,0.1521197007481296,0.0773067331670823,0.0573566084788029,0.0,0.1321695760598503,0.0299251870324189,0.0872817955112219,0.054862842892768,0.1047381546134663,0.0897755610972568
YDR473C,PRP3,prp3-1,tsa58-37C,796,158,0.1984924623115578,1.0,0.0696202531645569,0.0253164556962025,0.1075949367088607,0.2151898734177215,0.0379746835443038,0.0,0.1139240506329113,0.0126582278481012,0.1392405063291139,0.0443037974683544,0.1582278481012658,0.0759493670886076
YBR109C,CMD1,cmd1-1,tsa154-37C,588,277,0.4710884353741497,1.0,0.1191335740072202,0.0252707581227436,0.0722021660649819,0.0830324909747292,0.075812274368231,0.0,0.1010830324909747,0.0541516245487364,0.0722021660649819,0.0974729241877256,0.1949458483754512,0.1046931407942238
YBR109C,CMD1,cmd1-3,tsa155-37C,1001,327,0.3266733266733266,1.0,0.0519877675840978,0.0489296636085626,0.0886850152905198,0.0856269113149847,0.0428134556574923,0.0,0.0825688073394495,0.0489296636085626,0.091743119266055,0.110091743119266,0.2079510703363914,0.1406727828746177
YGR113W,DAM1,dam1-5,tsa242-37C,4162,764,0.1835655934646804,1.0,0.0458115183246073,0.0170157068062827,0.0484293193717277,0.0510471204188481,0.0746073298429319,0.0,0.0903141361256544,0.013089005235602,0.0654450261780104,0.0654450261780104,0.3965968586387434,0.1321989528795811
YGR113W,DAM1,dam1-19,tsa244-37C,2314,457,0.1974935177182368,1.0,0.12472647702407,0.0262582056892779,0.1006564551422319,0.1159737417943107,0.1072210065645514,0.0,0.0962800875273523,0.0218818380743982,0.1225382932166301,0.0568927789934354,0.1225382932166301,0.1050328227571116
YIR008C,PRI1,pri1-m4,tsa340-37C,1987,650,0.3271263210870659,1.0,0.103076923076923,0.0553846153846153,0.0292307692307692,0.103076923076923,0.023076923076923,0.0,0.0753846153846153,0.043076923076923,0.0784615384615384,0.0353846153846153,0.3276923076923076,0.1261538461538461
