ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YKR093W,PTR2,,dma3024,964,555,0.5757261410788381,1.0,0.0,0.0,0.0,0.0,0.1387387387387387,0.7135135135135136,0.0018018018018018,0.0,0.0,0.0036036036036036,0.1423423423423423
YGR179C,OKP1,okp1-5,tsa227-37C,497,217,0.4366197183098591,1.0,0.2672811059907834,0.0,0.0,0.0046082949308755,0.0921658986175115,0.032258064516129,0.0092165898617511,0.1244239631336405,0.2073732718894009,0.1105990783410138,0.152073732718894
YFL039C,ACT1,act1-101,tsa136-37C,730,229,0.3136986301369863,1.0,0.2489082969432314,0.0,0.0,0.0043668122270742,0.0917030567685589,0.0218340611353711,0.0,0.2620087336244541,0.1528384279475982,0.1048034934497816,0.1135371179039301
YAL041W,CDC24,cdc24-h,tsa42-37C,2261,1223,0.5409111012826183,1.0,0.196238757154538,0.0,0.0,0.0016353229762878,0.1651676206050695,0.1259198691741619,0.0057236304170073,0.1275551921504497,0.1103843008994276,0.0793131643499591,0.1880621422730989
YFL039C,ACT1,act1-4,tsa138-37C,1339,483,0.3607169529499626,1.0,0.1635610766045548,0.0,0.0,0.0248447204968944,0.175983436853002,0.1200828157349896,0.010351966873706,0.1221532091097308,0.1180124223602484,0.1014492753623188,0.1635610766045548
YOR336W,KRE5,kre5-ts2,tsa139-37C,214,95,0.4439252336448598,1.0,0.1578947368421052,0.0,0.0,0.0210526315789473,0.0842105263157894,0.0105263157894736,0.0,0.1894736842105263,0.1368421052631579,0.2842105263157894,0.1157894736842105
YCR093W,CDC39,cdc39-1,tsa93-37C,1331,496,0.3726521412471825,1.0,0.2620967741935484,0.0,0.0,0.0080645161290322,0.0604838709677419,0.034274193548387,0.0040322580645161,0.2298387096774193,0.157258064516129,0.1411290322580645,0.1028225806451613
YGL130W,CEG1,ceg1-3,tsa94-37C,539,286,0.5306122448979592,1.0,0.2202797202797203,0.0,0.0,0.0069930069930069,0.0699300699300699,0.0209790209790209,0.0209790209790209,0.2832167832167832,0.1398601398601398,0.1293706293706293,0.1083916083916083
YFL039C,ACT1,act1-132,tsa216-37C,535,143,0.2672897196261682,1.0,0.1958041958041958,0.0,0.0,0.0209790209790209,0.0489510489510489,0.1188811188811188,0.0069930069930069,0.1118881118881118,0.2167832167832167,0.1538461538461538,0.1258741258741259
YLR310C,CDC25,cdc25-2-supp1,tsa29-37C,362,164,0.4530386740331492,1.0,0.1646341463414634,0.0,0.0,0.0060975609756097,0.0914634146341463,0.0121951219512195,0.0060975609756097,0.2134146341463414,0.1890243902439024,0.1768292682926829,0.1402439024390244
