ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDR312W,SSF2,,dma1062,591,136,0.2301184433164128,1.0,0.0,0.0,0.1102941176470588,0.0,0.5294117647058824,0.1691176470588235,0.0514705882352941,0.0,0.0,0.0367647058823529,0.1029411764705882
YGR044C,RME1,,dma1830,312,82,0.2628205128205128,1.0,0.0121951219512195,0.0,0.0975609756097561,0.0,0.5609756097560976,0.1341463414634146,0.1097560975609756,0.0,0.0,0.048780487804878,0.0365853658536585
YGR201C,,,dma1964,381,81,0.2125984251968504,1.0,0.0,0.0,0.0864197530864197,0.0,0.5925925925925926,0.1975308641975308,0.0493827160493827,0.0,0.0,0.0617283950617283,0.0123456790123456
YJR118C,ILM1,,dma2723,307,97,0.3159609120521172,1.0,0.0,0.0,0.1030927835051546,0.0,0.5670103092783505,0.1443298969072164,0.1237113402061855,0.0,0.0103092783505154,0.0309278350515463,0.0206185567010309
YML041C,VPS71,,dma3546,246,79,0.3211382113821138,1.0,0.0,0.0,0.2151898734177215,0.0,0.4810126582278481,0.1392405063291139,0.0759493670886076,0.0,0.0,0.0126582278481012,0.0759493670886076
YNL097C,PHO23,,dma4020,266,112,0.4210526315789473,1.0,0.0,0.0,0.1875,0.0,0.5357142857142857,0.1160714285714285,0.0178571428571428,0.0,0.0,0.0446428571428571,0.0982142857142857
YOL136C,PFK27,,dma4413,709,166,0.234132581100141,1.0,0.0,0.0,0.1204819277108433,0.0,0.4759036144578313,0.1686746987951807,0.0783132530120482,0.0,0.0,0.0963855421686747,0.0602409638554216
YPL183W-A,RTC6,,dma4932,372,93,0.25,1.0,0.0,0.0,0.075268817204301,0.0,0.5806451612903226,0.1397849462365591,0.043010752688172,0.0,0.0,0.043010752688172,0.1182795698924731
YBR095C,RXT2,,dma259,671,186,0.2771982116244411,1.0,0.010752688172043,0.0,0.1236559139784946,0.0,0.532258064516129,0.1129032258064516,0.043010752688172,0.0,0.0,0.1021505376344086,0.075268817204301
YJR066W,TOR1,,dma5319,442,133,0.3009049773755656,1.0,0.0,0.0,0.1203007518796992,0.0,0.6466165413533834,0.1052631578947368,0.0150375939849624,0.0,0.0,0.0601503759398496,0.0526315789473684
YJL001W,PRE3,pre3-2,tsa292-37C,834,416,0.4988009592326139,1.0,0.0985576923076923,0.09375,0.0625,0.1466346153846154,0.1009615384615384,0.1225961538461538,0.0240384615384615,0.1370192307692307,0.0745192307692307,0.0673076923076923,0.0721153846153846
YBR060C,ORC2,orc2-1,tsa295-37C,550,310,0.5636363636363636,1.0,0.0709677419354838,0.2161290322580645,0.0709677419354838,0.0806451612903225,0.0709677419354838,0.1258064516129032,0.0096774193548387,0.0967741935483871,0.0580645161290322,0.1161290322580645,0.0838709677419354
YPR165W,RHO1,rho1-td,tsa15-37C,1209,255,0.2109181141439206,1.0,0.1019607843137254,0.0666666666666666,0.0980392156862745,0.0392156862745098,0.0666666666666666,0.1215686274509803,0.0117647058823529,0.1372549019607843,0.2078431372549019,0.1137254901960784,0.0352941176470588
YBR237W,PRP5,prp5-1,tsa117-37C,687,228,0.3318777292576419,1.0,0.0482456140350877,0.0921052631578947,0.0657894736842105,0.0219298245614035,0.0657894736842105,0.1052631578947368,0.0,0.2456140350877192,0.1973684210526315,0.1140350877192982,0.043859649122807
YDR052C,DBF4,dbf4-3,tsa163-37C,869,261,0.3003452243958573,1.0,0.0613026819923371,0.2681992337164751,0.1149425287356321,0.0153256704980842,0.053639846743295,0.10727969348659,0.0,0.10727969348659,0.1149425287356321,0.1111111111111111,0.0459770114942528
YJL074C,SMC3,smc3-42,tsa71-37C,635,199,0.3133858267716535,1.0,0.0351758793969849,0.1608040201005025,0.1055276381909547,0.0351758793969849,0.0351758793969849,0.1206030150753768,0.050251256281407,0.1758793969849246,0.135678391959799,0.100502512562814,0.0452261306532663
