ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL074C,BRE1,,dma651,180,68,0.3777777777777777,1.0,0.2647058823529412,0.2352941176470588,0.0,0.0735294117647058,0.0,0.1176470588235294,0.0441176470588235,0.0,0.2205882352941176,0.0441176470588235
YKR001C,VPS1,,dma2924,156,40,0.2564102564102564,1.0,0.1,0.05,0.025,0.1,0.0,0.15,0.175,0.0,0.3,0.1
YJR118C,ILM1,,dma2723,508,186,0.3661417322834646,1.0,0.1075268817204301,0.3010752688172043,0.0161290322580645,0.1505376344086021,0.0,0.1989247311827957,0.0268817204301075,0.0,0.1827956989247312,0.0161290322580645
YKL213C,DOA1,,dma2910,126,52,0.4126984126984127,1.0,0.0961538461538461,0.1153846153846153,0.0192307692307692,0.0769230769230769,0.0,0.2692307692307692,0.0384615384615384,0.0,0.3076923076923077,0.0769230769230769
YBR005W,RCR1,,dma192,932,224,0.2403433476394849,1.0,0.2857142857142857,0.0089285714285714,0.0892857142857142,0.0892857142857142,0.0,0.1116071428571428,0.1741071428571428,0.0,0.1205357142857142,0.1205357142857142
YLR347C,KAP95,kap95-l63a,tsa226-37C,714,171,0.2394957983193277,1.0,0.0701754385964912,0.0058479532163742,0.1052631578947368,0.0292397660818713,0.0,0.2046783625730994,0.1637426900584795,0.0,0.2222222222222222,0.1988304093567251
YGR179C,OKP1,okp1-5,tsa227-37C,497,188,0.3782696177062374,1.0,0.0372340425531914,0.0106382978723404,0.0957446808510638,0.0212765957446808,0.0,0.2234042553191489,0.1489361702127659,0.0,0.202127659574468,0.2606382978723404
YIL068C,SEC6,sec6-4,tsa38-37C,571,276,0.4833625218914185,1.0,0.0326086956521739,0.0108695652173913,0.0398550724637681,0.532608695652174,0.0072463768115942,0.0905797101449275,0.0579710144927536,0.0,0.2210144927536232,0.0072463768115942
YGL233W,SEC15,sec15-1,tsa40-37C,900,335,0.3722222222222222,1.0,0.0208955223880597,0.017910447761194,0.1164179104477611,0.0865671641791044,0.0,0.1373134328358209,0.1134328358208955,0.0,0.4238805970149253,0.0835820895522388
YFL039C,ACT1,act1-101,tsa136-37C,730,209,0.2863013698630137,1.0,0.062200956937799,0.0,0.1674641148325359,0.0143540669856459,0.0,0.1578947368421052,0.1626794258373205,0.0,0.3205741626794258,0.1148325358851674
YER157W,COG3,cog3-1,tsa41-37C,237,49,0.2067510548523206,1.0,0.0204081632653061,0.0408163265306122,0.0816326530612244,0.0612244897959183,0.0,0.1632653061224489,0.2653061224489796,0.0,0.2244897959183673,0.1428571428571428
YAL041W,CDC24,cdc24-h,tsa42-37C,2261,1158,0.5121627598407784,1.0,0.1476683937823834,0.0215889464594127,0.2400690846286701,0.006908462867012,0.0,0.0224525043177892,0.2245250431778929,0.0,0.2780656303972366,0.0587219343696027
YFL039C,ACT1,act1-4,tsa138-37C,1339,501,0.3741598207617625,1.0,0.1457085828343313,0.0239520958083832,0.1736526946107784,0.0379241516966067,0.0,0.059880239520958,0.2614770459081836,0.0,0.2295409181636726,0.0678642714570858
YER008C,SEC3,sec3-2,tsa43-37C,520,271,0.5211538461538462,1.0,0.014760147601476,0.059040590405904,0.092250922509225,0.1254612546125461,0.014760147601476,0.1365313653136531,0.051660516605166,0.0,0.4464944649446494,0.059040590405904
YOR336W,KRE5,kre5-ts2,tsa139-37C,214,80,0.3738317757009345,1.0,0.0125,0.025,0.1125,0.0125,0.0,0.2875,0.125,0.0,0.3125,0.1125
YDR170C,SEC7,sec7-1,tsa44-37C,905,450,0.4972375690607735,1.0,0.0266666666666666,0.0066666666666666,0.2044444444444444,0.0288888888888888,0.0,0.1022222222222222,0.1244444444444444,0.0,0.4311111111111111,0.0755555555555555
YFL039C,ACT1,act1-125,tsa140-37C,146,47,0.3219178082191781,1.0,0.0,0.0,0.1702127659574468,0.0425531914893617,0.0,0.1063829787234042,0.3617021276595745,0.0,0.2340425531914893,0.0851063829787234
YBL050W,SEC17,sec17-1,tsa45-37C,577,318,0.5511265164644714,1.0,0.0220125786163522,0.040880503144654,0.1069182389937107,0.1383647798742138,0.0,0.1477987421383647,0.0817610062893081,0.0,0.4245283018867924,0.0377358490566037
YIL048W,NEO1,neo1-2,tsa188-37C,533,174,0.3264540337711069,1.0,0.028735632183908,0.0114942528735632,0.0977011494252873,0.1206896551724138,0.0,0.2011494252873563,0.1034482758620689,0.0,0.2873563218390804,0.1494252873563218
YCR093W,CDC39,cdc39-1,tsa93-37C,1331,437,0.3283245679939894,1.0,0.0274599542334096,0.0045766590389016,0.2013729977116704,0.0251716247139588,0.0,0.102974828375286,0.1212814645308924,0.0,0.4553775743707093,0.0617848970251716
YIL109C,SEC24,sec24-2,tsa189-37C,1337,436,0.3261032161555722,1.0,0.0825688073394495,0.0091743119266055,0.0688073394495412,0.1743119266055046,0.0,0.1720183486238532,0.0779816513761468,0.0,0.341743119266055,0.073394495412844
YGL130W,CEG1,ceg1-3,tsa94-37C,539,265,0.4916512059369202,1.0,0.0188679245283018,0.0226415094339622,0.1773584905660377,0.0075471698113207,0.0,0.1471698113207547,0.1018867924528302,0.0,0.4075471698113208,0.1169811320754717
YDR052C,DBF4,dbf4-ts,tsa95-37C,1308,512,0.3914373088685015,1.0,0.025390625,0.01953125,0.068359375,0.025390625,0.0,0.359375,0.06640625,0.0,0.24609375,0.189453125
