ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL074C,BRE1,,dma651,356,82,0.2303370786516854,1.0,0.1097560975609756,0.0,0.1341463414634146,0.2804878048780488,0.0,0.1341463414634146,0.0,0.2804878048780488,0.0,0.0,0.0609756097560975
YCL024W,KCC4,,dma470,580,149,0.2568965517241379,1.0,0.087248322147651,0.0,0.0134228187919463,0.0604026845637583,0.0,0.2483221476510067,0.0,0.4161073825503356,0.0,0.0,0.174496644295302
YER048C,CAJ1,,dma1353,852,218,0.2558685446009389,1.0,0.146788990825688,0.0,0.091743119266055,0.1330275229357798,0.0,0.110091743119266,0.0,0.3623853211009174,0.0,0.0,0.1559633027522936
YER162C,RAD4,,dma1463,401,84,0.2094763092269326,1.0,0.1309523809523809,0.0,0.0119047619047619,0.0714285714285714,0.0,0.1666666666666666,0.0,0.3452380952380952,0.0,0.0,0.2738095238095238
YER069W,"ARG5,6",,dma1377,515,129,0.2504854368932039,1.0,0.0930232558139534,0.0,0.0155038759689922,0.0465116279069767,0.0,0.1007751937984496,0.0,0.5426356589147286,0.0,0.0,0.2015503875968992
YEL060C,PRB1,,dma1303,574,191,0.3327526132404181,1.0,0.0680628272251308,0.0,0.1308900523560209,0.2670157068062827,0.0,0.1151832460732984,0.0,0.3350785340314136,0.0,0.0,0.0837696335078534
YGL212W,VAM7,,dma1732,589,113,0.1918505942275042,1.0,0.0973451327433628,0.0,0.0,0.0176991150442477,0.0,0.1150442477876106,0.0,0.4513274336283185,0.0,0.0,0.3185840707964602
YGR066C,,,dma1843,558,104,0.1863799283154122,1.0,0.1634615384615384,0.0,0.0576923076923076,0.1057692307692307,0.0,0.1923076923076923,0.0,0.3173076923076923,0.0,0.0,0.1634615384615384
YGL195W,GCN1,,dma1722,793,133,0.1677175283732661,1.0,0.0827067669172932,0.0,0.0526315789473684,0.0526315789473684,0.0,0.1203007518796992,0.0,0.4135338345864661,0.0,0.0,0.2781954887218045
YGL043W,DST1,,dma1631,438,107,0.2442922374429223,1.0,0.1121495327102803,0.0,0.0560747663551401,0.0654205607476635,0.0,0.1401869158878504,0.0,0.4485981308411215,0.0,0.0,0.1775700934579439
YHR158C,KEL1,,dma2186,501,111,0.2215568862275449,1.0,0.072072072072072,0.0,0.081081081081081,0.027027027027027,0.0,0.2972972972972973,0.0,0.4054054054054054,0.0,0.0,0.1171171171171171
YGR270W,YTA7,,dma2009,559,165,0.295169946332737,1.0,0.0545454545454545,0.0,0.0424242424242424,0.0666666666666666,0.0,0.1151515151515151,0.0,0.4969696969696969,0.0,0.0,0.2242424242424242
YJR011C,,,dma2606,449,96,0.2138084632516703,1.0,0.0833333333333333,0.0,0.0833333333333333,0.0208333333333333,0.0,0.2395833333333333,0.0,0.2708333333333333,0.0,0.0,0.3020833333333333
YIL084C,SDS3,,dma2337,400,98,0.245,1.0,0.1428571428571428,0.0,0.173469387755102,0.336734693877551,0.0,0.1224489795918367,0.0,0.2040816326530612,0.0,0.0,0.0204081632653061
YJL149W,DAS1,,dma2539,496,87,0.1754032258064516,1.0,0.0919540229885057,0.0,0.264367816091954,0.0689655172413793,0.0,0.1724137931034483,0.0,0.3103448275862069,0.0,0.0,0.0919540229885057
YJL168C,SET2,,dma2546,553,127,0.2296564195298372,1.0,0.1574803149606299,0.0,0.0314960629921259,0.0393700787401574,0.0,0.1023622047244094,0.0,0.4409448818897638,0.0,0.0,0.2283464566929134
YJR053W,BFA1,,dma2650,393,116,0.2951653944020356,1.0,0.0344827586206896,0.0,0.1120689655172413,0.0172413793103448,0.0,0.2672413793103448,0.0,0.3534482758620689,0.0,0.0,0.2155172413793103
YJL157C,FAR1,,dma2555,503,91,0.1809145129224652,1.0,0.1208791208791208,0.0,0.0989010989010989,0.0659340659340659,0.0,0.1318681318681318,0.0,0.3626373626373626,0.0,0.0,0.2197802197802197
YKL184W,SPE1,,dma2883,264,76,0.2878787878787879,1.0,0.1447368421052631,0.0,0.0526315789473684,0.0789473684210526,0.0,0.2105263157894736,0.0,0.3552631578947368,0.0,0.0,0.1578947368421052
YJR130C,STR2,,dma2713,624,111,0.1778846153846154,1.0,0.1441441441441441,0.0,0.009009009009009,0.3153153153153153,0.0,0.1531531531531531,0.0,0.2792792792792792,0.0,0.0,0.0990990990990991
YJR118C,ILM1,,dma2723,340,111,0.3264705882352941,1.0,0.09009009009009,0.0,0.1801801801801801,0.2342342342342342,0.0,0.1801801801801801,0.0,0.2882882882882883,0.0,0.0,0.027027027027027
YKL216W,URA1,,dma2907,451,138,0.3059866962305986,1.0,0.1014492753623188,0.0,0.0289855072463768,0.0579710144927536,0.0,0.1014492753623188,0.0,0.4420289855072464,0.0,0.0,0.2681159420289855
YKR024C,DBP7,,dma2929,343,78,0.227405247813411,1.0,0.1923076923076923,0.0,0.0256410256410256,0.3333333333333333,0.0,0.1538461538461538,0.0,0.2435897435897435,0.0,0.0,0.0512820512820512
YLL013C,PUF3,,dma3026,490,97,0.1979591836734693,1.0,0.0927835051546391,0.0,0.0515463917525773,0.3711340206185567,0.0,0.1030927835051546,0.0,0.3092783505154639,0.0,0.0,0.0721649484536082
YLL023C,POM33,,dma3041,539,192,0.3562152133580705,1.0,0.0677083333333333,0.0,0.0520833333333333,0.046875,0.0,0.140625,0.0,0.4375,0.0,0.0,0.2552083333333333
YKL150W,MCR1,,dma2860,398,101,0.2537688442211055,1.0,0.1287128712871287,0.0,0.0396039603960396,0.0594059405940594,0.0,0.1683168316831683,0.0,0.4257425742574257,0.0,0.0,0.1782178217821782
YKR048C,NAP1,,dma2953,576,102,0.1770833333333333,1.0,0.2549019607843137,0.0,0.0196078431372549,0.1372549019607843,0.0,0.1274509803921568,0.0,0.3725490196078431,0.0,0.0,0.088235294117647
YKR043C,SHB17,,dma2958,866,147,0.1697459584295612,1.0,0.0680272108843537,0.0,0.0340136054421768,0.0340136054421768,0.0,0.2040816326530612,0.0,0.4081632653061224,0.0,0.0,0.2517006802721088
YKL048C,ELM1,,dma2781,95,40,0.4210526315789473,1.0,0.125,0.0,0.075,0.025,0.0,0.25,0.0,0.325,0.0,0.0,0.2
YMR167W,MLH1,,dma3760,251,62,0.247011952191235,1.0,0.1129032258064516,0.0,0.0,0.0161290322580645,0.0,0.1774193548387097,0.0,0.4032258064516129,0.0,0.0,0.2903225806451613
YML102W,CAC2,,dma3590,219,55,0.2511415525114155,1.0,0.1636363636363636,0.0,0.0727272727272727,0.0363636363636363,0.0,0.2727272727272727,0.0,0.2909090909090909,0.0,0.0,0.1636363636363636
YLR448W,RPL6B,,dma3499,495,100,0.202020202020202,1.0,0.11,0.0,0.06,0.05,0.0,0.17,0.0,0.41,0.0,0.0,0.2
YMR186W,HSC82,,dma3788,375,80,0.2133333333333333,1.0,0.1,0.0,0.0625,0.075,0.0,0.25,0.0,0.3375,0.0,0.0,0.175
YMR201C,RAD14,,dma3798,308,72,0.2337662337662337,1.0,0.0555555555555555,0.0,0.0416666666666666,0.0277777777777777,0.0,0.1527777777777778,0.0,0.6111111111111112,0.0,0.0,0.1111111111111111
YML012C-A,,,dma3522,246,52,0.2113821138211382,1.0,0.1346153846153846,0.0,0.0769230769230769,0.0384615384615384,0.0,0.3461538461538461,0.0,0.1923076923076923,0.0,0.0,0.2115384615384615
YMR221C,,,dma3809,647,215,0.3323029366306028,1.0,0.1395348837209302,0.0,0.1488372093023255,0.3255813953488372,0.0,0.1209302325581395,0.0,0.213953488372093,0.0,0.0,0.0511627906976744
YMR025W,CSI1,,dma3643,348,67,0.1925287356321839,1.0,0.0895522388059701,0.0,0.1194029850746268,0.0746268656716417,0.0,0.1492537313432835,0.0,0.4626865671641791,0.0,0.0,0.1044776119402985
YMR263W,SAP30,,dma3870,667,156,0.2338830584707646,1.0,0.1346153846153846,0.0,0.1474358974358974,0.2948717948717949,0.0,0.1602564102564102,0.0,0.2115384615384615,0.0,0.0,0.0512820512820512
YNL068C,FKH2,,dma3974,964,149,0.1545643153526971,1.0,0.1677852348993288,0.0,0.0604026845637583,0.0402684563758389,0.0,0.1208053691275167,0.0,0.2953020134228188,0.0,0.0,0.3154362416107382
YNL064C,YDJ1,,dma3979,256,57,0.22265625,1.0,0.2280701754385964,0.0,0.0350877192982456,0.0175438596491228,0.0,0.2807017543859649,0.0,0.2456140350877192,0.0,0.0,0.1929824561403508
YNL199C,GCR2,,dma4071,194,77,0.3969072164948453,1.0,0.2077922077922078,0.0,0.0909090909090909,0.2467532467532467,0.0,0.1688311688311688,0.0,0.2467532467532467,0.0,0.0,0.0389610389610389
YNL198C,,,dma4072,310,106,0.3419354838709677,1.0,0.1981132075471698,0.0,0.0849056603773584,0.1509433962264151,0.0,0.1132075471698113,0.0,0.330188679245283,0.0,0.0,0.1226415094339622
YNL215W,IES2,,dma4082,723,177,0.2448132780082987,1.0,0.0508474576271186,0.0,0.0,0.0338983050847457,0.0,0.1186440677966101,0.0,0.5423728813559322,0.0,0.0,0.2542372881355932
YNL325C,FIG4,,dma4182,375,92,0.2453333333333333,1.0,0.0978260869565217,0.0,0.0217391304347826,0.0543478260869565,0.0,0.108695652173913,0.0,0.4021739130434782,0.0,0.0,0.3152173913043478
YNL324W,,,dma4183,505,135,0.2673267326732673,1.0,0.0962962962962963,0.0,0.0518518518518518,0.0592592592592592,0.0,0.1259259259259259,0.0,0.4074074074074074,0.0,0.0,0.2592592592592592
YNL323W,LEM3,,dma4184,753,117,0.1553784860557769,1.0,0.094017094017094,0.0,0.1025641025641025,0.0427350427350427,0.0,0.188034188034188,0.0,0.376068376068376,0.0,0.0,0.1965811965811965
YNL322C,KRE1,,dma4185,592,118,0.1993243243243243,1.0,0.1186440677966101,0.0,0.211864406779661,0.135593220338983,0.0,0.1101694915254237,0.0,0.288135593220339,0.0,0.0,0.135593220338983
YNL082W,PMS1,,dma4008,1076,251,0.233271375464684,1.0,0.1075697211155378,0.0,0.0637450199203187,0.0438247011952191,0.0,0.199203187250996,0.0,0.3147410358565737,0.0,0.0,0.2709163346613545
YNL097C,PHO23,,dma4020,825,306,0.3709090909090909,1.0,0.0718954248366013,0.0,0.1045751633986928,0.4313725490196078,0.0,0.15359477124183,0.0,0.2124183006535947,0.0,0.0,0.0261437908496732
YNR010W,CSE2,,dma4207,383,80,0.2088772845953002,1.0,0.0875,0.0,0.025,0.0625,0.0,0.1625,0.0,0.4375,0.0,0.0,0.225
YNL013C,,,dma3929,1014,343,0.3382642998027613,1.0,0.0845481049562682,0.0,0.0466472303206997,0.0379008746355685,0.0,0.1370262390670553,0.0,0.4548104956268221,0.0,0.0,0.239067055393586
YNL004W,HRB1,,dma3934,613,122,0.199021207177814,1.0,0.0983606557377049,0.0,0.0163934426229508,0.1147540983606557,0.0,0.1311475409836065,0.0,0.4918032786885246,0.0,0.0,0.1475409836065573
YOL058W,ARG1,,dma4354,609,115,0.1888341543513957,1.0,0.1304347826086956,0.0,0.008695652173913,0.017391304347826,0.0,0.1130434782608695,0.0,0.5304347826086957,0.0,0.0,0.2
YNR069C,BSC5,,dma4280,641,104,0.1622464898595944,1.0,0.1538461538461538,0.0,0.2115384615384615,0.1634615384615384,0.0,0.125,0.0,0.2692307692307692,0.0,0.0,0.0769230769230769
YOL090W,MSH2,,dma4377,284,70,0.2464788732394366,1.0,0.0857142857142857,0.0,0.0142857142857142,0.0285714285714285,0.0,0.2714285714285714,0.0,0.2571428571428571,0.0,0.0,0.3428571428571428
YOR083W,WHI5,,dma4490,622,98,0.157556270096463,1.0,0.0918367346938775,0.0,0.0408163265306122,0.0306122448979591,0.0,0.1938775510204081,0.0,0.3979591836734694,0.0,0.0,0.2448979591836734
YOR189W,IES4,,dma4592,544,104,0.1911764705882352,1.0,0.1538461538461538,0.0,0.0865384615384615,0.1153846153846153,0.0,0.173076923076923,0.0,0.3365384615384615,0.0,0.0,0.1346153846153846
YPL060W,MFM1,,dma4801,949,150,0.1580611169652265,1.0,0.1,0.0,0.06,0.24,0.0,0.1666666666666666,0.0,0.34,0.0,0.0,0.0933333333333333
