ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCL061C,MRC1,,dma522,622,148,0.2379421221864952,1.0,0.1756756756756756,0.0,0.0,0.0,0.3783783783783784,0.0,0.1081081081081081,0.1824324324324324,0.0,0.027027027027027,0.1283783783783783,0.0
YCL060C,,,dma523,705,103,0.1460992907801418,1.0,0.174757281553398,0.0,0.0,0.0097087378640776,0.4951456310679611,0.0,0.116504854368932,0.145631067961165,0.0,0.0,0.058252427184466,0.0
YCL016C,DCC1,,dma473,696,102,0.146551724137931,1.0,0.1078431372549019,0.0,0.0,0.0,0.196078431372549,0.0,0.2254901960784313,0.2254901960784313,0.0,0.0392156862745098,0.2058823529411764,0.0
YDL074C,BRE1,,dma651,550,95,0.1727272727272727,1.0,0.4105263157894737,0.0,0.0,0.031578947368421,0.2210526315789473,0.0,0.1157894736842105,0.0842105263157894,0.0,0.031578947368421,0.1052631578947368,0.0
YDL162C,,,dma741,310,54,0.1741935483870967,1.0,0.2037037037037037,0.0,0.0,0.0185185185185185,0.2407407407407407,0.0,0.2037037037037037,0.1296296296296296,0.0,0.037037037037037,0.1666666666666666,0.0
YCL032W,STE50,,dma498,289,110,0.3806228373702422,1.0,0.5454545454545454,0.0,0.0,0.0,0.2,0.0,0.0727272727272727,0.1181818181818181,0.0,0.0181818181818181,0.0454545454545454,0.0
YCR034W,ELO2,,dma556,885,107,0.1209039548022598,1.0,0.2616822429906542,0.0,0.0,0.0,0.2710280373831775,0.0,0.1214953271028037,0.1214953271028037,0.0,0.0467289719626168,0.1775700934579439,0.0
YDR014W,RAD61,,dma830,958,124,0.1294363256784968,1.0,0.1370967741935483,0.0,0.0,0.0080645161290322,0.1048387096774193,0.0,0.2177419354838709,0.1451612903225806,0.0,0.0725806451612903,0.314516129032258,0.0
YDR173C,ARG82,,dma953,626,167,0.2667731629392971,1.0,0.3293413173652694,0.0,0.0,0.0059880239520958,0.1137724550898203,0.0,0.1437125748502994,0.2155688622754491,0.0,0.029940119760479,0.1616766467065868,0.0
YDR004W,RAD57,,dma838,539,98,0.1818181818181818,1.0,0.2040816326530612,0.0,0.0,0.010204081632653,0.2551020408163265,0.0,0.1428571428571428,0.2448979591836734,0.0,0.0408163265306122,0.1020408163265306,0.0
