ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YML064C,TEM1,tem1-3-supp1,tsa225-37C,1151,319,0.2771503040834057,1.0,0.1003134796238244,0.0689655172413793,0.0909090909090909,0.0250783699059561,0.0156739811912225,0.0156739811912225,0.0595611285266457,0.1191222570532915,0.0815047021943573,0.1379310344827586,0.0783699059561128,0.2068965517241379
YHR191C,CTF8,ctf8-162,tsa322-37C,184,98,0.532608695652174,1.0,0.0408163265306122,0.0510204081632653,0.1530612244897959,0.0816326530612244,0.0204081632653061,0.010204081632653,0.0918367346938775,0.2142857142857142,0.0306122448979591,0.1122448979591836,0.1428571428571428,0.0510204081632653
YHR191C,CTF8,ctf8-9,tsa323-37C,221,103,0.4660633484162896,1.0,0.0679611650485436,0.0194174757281553,0.087378640776699,0.058252427184466,0.0097087378640776,0.0,0.1262135922330097,0.233009708737864,0.0776699029126213,0.0970873786407767,0.174757281553398,0.0485436893203883
YIL068C,SEC6,sec6-4,tsa38-37C,2641,1024,0.387731919727376,1.0,0.0771484375,0.0556640625,0.0849609375,0.0341796875,0.1611328125,0.0283203125,0.013671875,0.1455078125,0.0087890625,0.072265625,0.1806640625,0.1376953125
YFL039C,ACT1,act1-101,tsa136-37C,692,293,0.4234104046242775,1.0,0.030716723549488,0.0853242320819112,0.0921501706484641,0.0238907849829351,0.0102389078498293,0.0170648464163822,0.0511945392491467,0.1228668941979522,0.0443686006825938,0.1843003412969283,0.2116040955631399,0.1262798634812286
YER157W,COG3,cog3-1,tsa41-37C,149,113,0.7583892617449665,1.0,0.0088495575221238,0.0088495575221238,0.0265486725663716,0.0,0.415929203539823,0.1592920353982301,0.0176991150442477,0.1504424778761062,0.0265486725663716,0.0176991150442477,0.1327433628318584,0.0353982300884955
YAL041W,CDC24,cdc24-h,tsa42-37C,1989,693,0.3484162895927601,1.0,0.062049062049062,0.0144300144300144,0.0028860028860028,0.0028860028860028,0.5122655122655123,0.2294372294372294,0.0,0.113997113997114,0.0144300144300144,0.0216450216450216,0.023088023088023,0.0028860028860028
YFL039C,ACT1,act1-4,tsa138-37C,951,462,0.4858044164037854,1.0,0.0735930735930736,0.0670995670995671,0.0779220779220779,0.0173160173160173,0.0129870129870129,0.0043290043290043,0.0584415584415584,0.1515151515151515,0.0411255411255411,0.1103896103896103,0.2337662337662337,0.1515151515151515
YER008C,SEC3,sec3-2,tsa43-37C,2006,905,0.4511465603190429,1.0,0.0243093922651933,0.0276243093922651,0.056353591160221,0.0143646408839779,0.3535911602209944,0.0861878453038674,0.0022099447513812,0.1513812154696132,0.005524861878453,0.0408839779005524,0.1856353591160221,0.0519337016574585
YDR170C,SEC7,sec7-1,tsa44-37C,2130,782,0.3671361502347418,1.0,0.0562659846547314,0.0652173913043478,0.0907928388746803,0.0294117647058823,0.0460358056265984,0.0051150895140664,0.0217391304347826,0.1943734015345268,0.0166240409207161,0.0652173913043478,0.2493606138107416,0.159846547314578
YBL050W,SEC17,sec17-1,tsa45-37C,936,514,0.5491452991452992,1.0,0.036964980544747,0.046692607003891,0.1050583657587548,0.0077821011673151,0.0214007782101167,0.0038910505836575,0.0194552529182879,0.1770428015564202,0.0330739299610894,0.0719844357976653,0.2859922178988326,0.1906614785992217
YIL048W,NEO1,neo1-2,tsa188-37C,61,40,0.6557377049180327,1.0,0.05,0.0,0.05,0.025,0.175,0.075,0.05,0.275,0.025,0.025,0.15,0.1
YCR093W,CDC39,cdc39-1,tsa93-37C,1834,769,0.4193020719738277,1.0,0.153446033810143,0.0299089726918075,0.0520156046814044,0.0377113133940182,0.2899869960988296,0.0962288686605981,0.0117035110533159,0.1469440832249675,0.0130039011703511,0.0585175552665799,0.0754226267880364,0.0351105331599479
YIL109C,SEC24,sec24-2,tsa189-37C,1787,667,0.3732512590934527,1.0,0.0659670164917541,0.0839580209895052,0.0764617691154422,0.0284857571214392,0.0269865067466266,0.0134932533733133,0.0149925037481259,0.1244377811094452,0.0239880059970015,0.0824587706146926,0.2383808095952024,0.2203898050974512
YGL130W,CEG1,ceg1-3,tsa94-37C,149,70,0.4697986577181208,1.0,0.0714285714285714,0.0285714285714285,0.1,0.0428571428571428,0.0428571428571428,0.0285714285714285,0.0571428571428571,0.2,0.0285714285714285,0.0571428571428571,0.3285714285714285,0.0142857142857142
YKL145W,RPT1,rpt1-1,tsa190-37C,288,112,0.3888888888888889,1.0,0.0892857142857142,0.0178571428571428,0.1339285714285714,0.0446428571428571,0.0267857142857142,0.0446428571428571,0.1071428571428571,0.2678571428571428,0.0446428571428571,0.0625,0.1339285714285714,0.0267857142857142
YKL210W,UBA1,uba1-1,tsa191-37C,735,201,0.273469387755102,1.0,0.1194029850746268,0.0597014925373134,0.1094527363184079,0.0696517412935323,0.0248756218905472,0.0099502487562189,0.044776119402985,0.1044776119402985,0.1044776119402985,0.1393034825870646,0.1492537313432835,0.0646766169154228
YNR026C,SEC12,sec12-1,tsa305-37C,463,334,0.7213822894168467,1.0,0.0508982035928143,0.0718562874251497,0.0628742514970059,0.0359281437125748,0.0179640718562874,0.0179640718562874,0.0538922155688622,0.2155688622754491,0.0179640718562874,0.0538922155688622,0.2544910179640718,0.1467065868263473
YJL034W,KAR2,kar2-159,tsa210-37C,1401,561,0.4004282655246253,1.0,0.0392156862745098,0.0730837789661319,0.0463458110516934,0.0267379679144385,0.0196078431372549,0.0124777183600713,0.0106951871657754,0.1301247771836007,0.0267379679144385,0.142602495543672,0.3065953654188948,0.1657754010695187
YOL139C,CDC33,cdc33-e72g,tsa306-37C,756,175,0.2314814814814814,1.0,0.0914285714285714,0.0628571428571428,0.0857142857142857,0.04,0.0057142857142857,0.0057142857142857,0.0571428571428571,0.1485714285714285,0.1028571428571428,0.0914285714285714,0.1542857142857142,0.1542857142857142
YFL005W,SEC4,sec4-8,tsa307-37C,1028,498,0.4844357976653696,1.0,0.0261044176706827,0.0421686746987951,0.0662650602409638,0.0160642570281124,0.0180722891566265,0.0060240963855421,0.0341365461847389,0.1967871485943775,0.0180722891566265,0.07429718875502,0.3152610441767068,0.1867469879518072
YOR075W,UFE1,ufe1-1,tsa212-37C,1012,417,0.4120553359683794,1.0,0.0479616306954436,0.0599520383693045,0.1247002398081534,0.014388489208633,0.0167865707434052,0.0,0.0407673860911271,0.13189448441247,0.0479616306954436,0.0959232613908872,0.2446043165467626,0.1750599520383693
YFL039C,ACT1,act1-111,tsa214-37C,163,64,0.3926380368098159,1.0,0.046875,0.046875,0.15625,0.015625,0.125,0.015625,0.015625,0.15625,0.125,0.078125,0.078125,0.140625
YLR268W,SEC22,sec22-3,tsa121-37C,97,72,0.7422680412371134,1.0,0.0972222222222222,0.0416666666666666,0.0555555555555555,0.0277777777777777,0.125,0.0416666666666666,0.0416666666666666,0.2361111111111111,0.0138888888888888,0.0694444444444444,0.1111111111111111,0.1388888888888889
YPR055W,SEC8,sec8-9,tsa122-37C,505,314,0.6217821782178218,1.0,0.0318471337579617,0.0732484076433121,0.0923566878980891,0.0350318471337579,0.0477707006369426,0.0382165605095541,0.019108280254777,0.1560509554140127,0.0159235668789808,0.1114649681528662,0.2388535031847133,0.1401273885350318
YGL130W,CEG1,ceg1-c354,tsa124-37C,170,105,0.6176470588235294,1.0,0.2095238095238095,0.019047619047619,0.0476190476190476,0.0857142857142857,0.0,0.0666666666666666,0.0380952380952381,0.1047619047619047,0.0952380952380952,0.219047619047619,0.0857142857142857,0.0285714285714285
YLR310C,CDC25,cdc25-2-supp1,tsa29-37C,1014,553,0.5453648915187377,1.0,0.1338155515370705,0.0397830018083182,0.0831826401446654,0.0271247739602169,0.0126582278481012,0.0090415913200723,0.0162748643761302,0.1934900542495479,0.0325497287522604,0.1139240506329113,0.2929475587703435,0.0452079566003616
YBR202W,MCM7,cdc47-ts,tsa125-37C,728,258,0.3543956043956044,1.0,0.0310077519379844,0.0426356589147286,0.1162790697674418,0.0232558139534883,0.0077519379844961,0.0077519379844961,0.0968992248062015,0.1821705426356589,0.0581395348837209,0.1162790697674418,0.189922480620155,0.127906976744186
YLR293C,GSP1,gsp1-p162l,tsa256-37C,775,240,0.3096774193548387,1.0,0.0666666666666666,0.0583333333333333,0.0708333333333333,0.0416666666666666,0.0083333333333333,0.0,0.1208333333333333,0.175,0.0666666666666666,0.1041666666666666,0.1958333333333333,0.0916666666666666
YIR006C,PAN1,pan1-4,tsa353-37C,338,185,0.5473372781065089,1.0,0.1027027027027027,0.1513513513513513,0.0702702702702702,0.0378378378378378,0.0324324324324324,0.0054054054054054,0.0324324324324324,0.1135135135135135,0.0702702702702702,0.0918918918918919,0.1621621621621621,0.1297297297297297
YGL130W,CEG1,ceg1-ts,tsa355-37C,707,253,0.3578500707213578,1.0,0.0237154150197628,0.0869565217391304,0.1146245059288537,0.0513833992094861,0.0276679841897233,0.0158102766798418,0.0395256916996047,0.1067193675889328,0.0909090909090909,0.1264822134387351,0.1936758893280632,0.1225296442687747
YGL130W,CEG1,ceg1-34,tsa358-37C,437,200,0.4576659038901602,1.0,0.025,0.035,0.12,0.015,0.025,0.0,0.08,0.16,0.025,0.075,0.345,0.095
YLR086W,SMC4,smc4-1,tsa264-37C,134,57,0.4253731343283582,1.0,0.087719298245614,0.0526315789473684,0.087719298245614,0.0,0.0175438596491228,0.0175438596491228,0.2280701754385964,0.2807017543859649,0.0350877192982456,0.0701754385964912,0.1052631578947368,0.0175438596491228
YDL028C,MPS1,mps1-417,tsa169-37C,611,306,0.5008183306055647,1.0,0.0751633986928104,0.0588235294117647,0.065359477124183,0.0980392156862745,0.0588235294117647,0.0261437908496732,0.1601307189542483,0.1078431372549019,0.0849673202614379,0.0457516339869281,0.1176470588235294,0.1013071895424836
YBR236C,ABD1,abd1-5,tsa75-37C,425,117,0.2752941176470588,1.0,0.1623931623931624,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.017094017094017,0.0,0.0683760683760683,0.3418803418803419,0.0427350427350427,0.0427350427350427,0.1538461538461538,0.0683760683760683
YMR235C,RNA1,rna1-s116f,tsa172-37C,1435,539,0.375609756097561,1.0,0.0705009276437847,0.0705009276437847,0.1020408163265306,0.0389610389610389,0.0037105751391465,0.0037105751391465,0.0482374768089053,0.1688311688311688,0.0445269016697588,0.085343228200371,0.2244897959183673,0.1391465677179963
YKL089W,MIF2,mif2-3,tsa113-37C,667,205,0.3073463268365817,1.0,0.1073170731707317,0.0390243902439024,0.0780487804878048,0.0390243902439024,0.048780487804878,0.0390243902439024,0.1463414634146341,0.1365853658536585,0.0829268292682926,0.0682926829268292,0.1073170731707317,0.1073170731707317
YDR364C,CDC40,cdc40-ts,tsa18-37C,151,64,0.423841059602649,1.0,0.09375,0.046875,0.078125,0.046875,0.0,0.03125,0.09375,0.234375,0.046875,0.09375,0.171875,0.0625
YBR237W,PRP5,prp5-1,tsa117-37C,1390,679,0.4884892086330935,1.0,0.1237113402061855,0.0618556701030927,0.1119293078055964,0.0471281296023564,0.0279823269513991,0.0088365243004418,0.0559646539027982,0.1148748159057437,0.04860088365243,0.1222385861561119,0.1885125184094256,0.0883652430044182
YMR235C,RNA1,rna1-1,tsa118-37C,1169,423,0.3618477331052181,1.0,0.0449172576832151,0.0425531914893617,0.1205673758865248,0.0401891252955082,0.0118203309692671,0.0094562647754137,0.0401891252955082,0.1513002364066193,0.0472813238770685,0.0992907801418439,0.2222222222222222,0.1702127659574468
YPL085W,SEC16,sec16-2,tsa119-37C,1197,735,0.6140350877192983,1.0,0.0340136054421768,0.0625850340136054,0.092517006802721,0.0204081632653061,0.0122448979591836,0.0027210884353741,0.0163265306122449,0.1768707482993197,0.0122448979591836,0.1074829931972789,0.2938775510204082,0.1687074829931972
YBR102C,EXO84,exo84-102,tsa24-37C,761,341,0.4480946123521682,1.0,0.0263929618768328,0.0879765395894428,0.0850439882697947,0.0087976539589442,0.0117302052785923,0.0175953079178885,0.0146627565982404,0.1026392961876832,0.0410557184750733,0.1524926686217008,0.2873900293255132,0.1642228739002932
YLR088W,GAA1,gaa1-ts,tsa207-37C,329,140,0.425531914893617,1.0,0.1285714285714285,0.0785714285714285,0.0928571428571428,0.0285714285714285,0.0214285714285714,0.0,0.0071428571428571,0.1142857142857142,0.05,0.15,0.2,0.1285714285714285
YMR117C,SPC24,spc24-10,tsa303-37C,1775,271,0.1526760563380281,1.0,0.051660516605166,0.081180811808118,0.084870848708487,0.070110701107011,0.014760147601476,0.011070110701107,0.1402214022140221,0.1180811808118081,0.1402214022140221,0.0959409594095941,0.1143911439114391,0.077490774907749
YAL041W,CDC24,cdc24-5,tsa304-37C,1084,351,0.3238007380073801,1.0,0.2535612535612536,0.0313390313390313,0.0256410256410256,0.0227920227920227,0.0227920227920227,0.0056980056980056,0.0199430199430199,0.2421652421652421,0.0484330484330484,0.1196581196581196,0.1595441595441595,0.0484330484330484
YGR092W,DBF2,dbf2-1,tsa158-37C,1873,447,0.2386545648691938,1.0,0.1879194630872483,0.0805369127516778,0.0559284116331096,0.0357941834451901,0.0156599552572706,0.0111856823266219,0.0313199105145413,0.1789709172259508,0.0514541387024608,0.0514541387024608,0.076062639821029,0.2237136465324384
YLR166C,SEC10,sec10-2,tsa63-37C,1378,696,0.5050798258345428,1.0,0.0272988505747126,0.0474137931034482,0.0775862068965517,0.0158045977011494,0.0229885057471264,0.0129310344827586,0.014367816091954,0.1666666666666666,0.0057471264367816,0.139367816091954,0.3189655172413793,0.1508620689655172
YGR092W,DBF2,dbf2-2,tsa159-37C,2072,619,0.2987451737451737,1.0,0.2229402261712439,0.0807754442649434,0.0371567043618739,0.0161550888529886,0.0096930533117932,0.0129240710823909,0.0258481421647819,0.1841680129240711,0.0290791599353796,0.0726978998384491,0.0710823909531502,0.2374798061389337
YER136W,GDI1,gdi1-1,tsa64-37C,1558,903,0.579589216944801,1.0,0.0741971207087486,0.0586932447397563,0.0697674418604651,0.0243632336655592,0.0254706533776301,0.0132890365448504,0.0376522702104097,0.1439645625692137,0.0121816168327796,0.0930232558139534,0.2713178294573643,0.1760797342192691
YGR092W,DBF2,dbf2-3,tsa160-37C,1686,606,0.3594306049822064,1.0,0.193069306930693,0.0792079207920792,0.0528052805280528,0.0429042904290429,0.0099009900990099,0.0082508250825082,0.0346534653465346,0.1815181518151815,0.0396039603960396,0.0808580858085808,0.0891089108910891,0.1881188118811881
YER147C,SCC4,scc4-4,tsa69-37C,785,359,0.4573248407643312,1.0,0.0947075208913649,0.0529247910863509,0.1058495821727019,0.0194986072423398,0.011142061281337,0.0,0.0389972144846796,0.2395543175487465,0.0334261838440111,0.0807799442896936,0.2116991643454039,0.1114206128133704
YNL287W,SEC21,sec21-1,tsa46-37C,173,117,0.6763005780346821,1.0,0.0683760683760683,0.0512820512820512,0.0854700854700854,0.0598290598290598,0.0598290598290598,0.017094017094017,0.094017094017094,0.2136752136752136,0.0341880341880341,0.0341880341880341,0.1794871794871795,0.1025641025641025
YFL039C,ACT1,act1-136,tsa142-37C,910,500,0.5494505494505495,1.0,0.132,0.052,0.07,0.022,0.016,0.008,0.02,0.17,0.034,0.164,0.246,0.066
YOR181W,LAS17,las17-14,tsa230-37C,551,325,0.5898366606170599,1.0,0.0553846153846153,0.1292307692307692,0.1046153846153846,0.0215384615384615,0.0246153846153846,0.0123076923076923,0.0153846153846153,0.1138461538461538,0.0584615384615384,0.1353846153846153,0.2123076923076923,0.1169230769230769
YDL090C,RAM1,ram1-119,tsa327-37C,782,261,0.3337595907928389,1.0,0.0881226053639846,0.0651340996168582,0.1455938697318007,0.0498084291187739,0.0306513409961685,0.0421455938697318,0.0498084291187739,0.1226053639846743,0.0727969348659003,0.1264367816091954,0.1034482758620689,0.1034482758620689
YOR122C,PFY1,pfy1-4,tsa232-37C,121,64,0.5289256198347108,1.0,0.078125,0.03125,0.078125,0.015625,0.015625,0.015625,0.09375,0.15625,0.0625,0.109375,0.1875,0.15625
YJR045C,SSC1,ssc1-2,tsa328-37C,1276,317,0.2484326018808777,1.0,0.056782334384858,0.0757097791798107,0.0883280757097791,0.0220820189274447,0.0189274447949526,0.0063091482649842,0.0094637223974763,0.1167192429022082,0.0630914826498422,0.167192429022082,0.2050473186119873,0.1703470031545741
YOR122C,PFY1,pfy1-13,tsa233-37C,360,157,0.4361111111111111,1.0,0.0700636942675159,0.1273885350318471,0.1464968152866242,0.0254777070063694,0.019108280254777,0.019108280254777,0.0318471337579617,0.10828025477707,0.0700636942675159,0.0828025477707006,0.0955414012738853,0.2038216560509554
YPL093W,NOG1,nog1-1,tsa329-37C,313,90,0.2875399361022364,1.0,0.0888888888888888,0.0111111111111111,0.0777777777777777,0.0333333333333333,0.0111111111111111,0.0222222222222222,0.0666666666666666,0.2222222222222222,0.0888888888888888,0.0666666666666666,0.2333333333333333,0.0777777777777777
YER013W,PRP22,prp22-1,tsa237-37C,567,324,0.5714285714285714,1.0,0.1450617283950617,0.0308641975308641,0.1512345679012345,0.0617283950617283,0.015432098765432,0.0061728395061728,0.1265432098765432,0.1234567901234567,0.0432098765432098,0.0895061728395061,0.1666666666666666,0.0401234567901234
YLL031C,GPI13,gpi13-5,tsa197-37C,144,90,0.625,1.0,0.1111111111111111,0.0888888888888888,0.1222222222222222,0.0666666666666666,0.0555555555555555,0.0444444444444444,0.0222222222222222,0.1666666666666666,0.1,0.0555555555555555,0.1222222222222222,0.0444444444444444
YMR117C,SPC24,spc24-9,tsa293-37C,905,349,0.3856353591160221,1.0,0.0974212034383954,0.0630372492836676,0.0744985673352435,0.0773638968481375,0.0257879656160458,0.0200573065902578,0.1088825214899713,0.1002865329512893,0.0716332378223495,0.1318051575931232,0.160458452722063,0.0687679083094555
YLR459W,GAB1,gab1-1,tsa200-37C,254,136,0.5354330708661418,1.0,0.1176470588235294,0.0735294117647058,0.0661764705882353,0.0735294117647058,0.0073529411764705,0.0147058823529411,0.0147058823529411,0.1102941176470588,0.0955882352941176,0.1397058823529411,0.1691176470588235,0.1176470588235294
YLR459W,GAB1,gab1-2,tsa201-37C,89,42,0.4719101123595505,1.0,0.1904761904761904,0.0238095238095238,0.0714285714285714,0.0238095238095238,0.0952380952380952,0.0,0.0476190476190476,0.238095238095238,0.0714285714285714,0.0476190476190476,0.0952380952380952,0.0952380952380952
YLR459W,GAB1,gab1-3,tsa202-37C,204,125,0.6127450980392157,1.0,0.104,0.064,0.064,0.064,0.016,0.008,0.016,0.136,0.136,0.136,0.184,0.072
YML130C,ERO1,ero1-1,tsa203-37C,1484,790,0.532345013477089,1.0,0.0240506329113924,0.0962025316455696,0.0683544303797468,0.0253164556962025,0.0240506329113924,0.0037974683544303,0.0126582278481012,0.120253164556962,0.020253164556962,0.1354430379746835,0.2924050632911392,0.1772151898734177
YHR007C,ERG11,erg11-td,tsa14-37C,205,63,0.3073170731707317,1.0,0.0476190476190476,0.0317460317460317,0.1746031746031746,0.0952380952380952,0.0158730158730158,0.0158730158730158,0.0317460317460317,0.1746031746031746,0.1269841269841269,0.1269841269841269,0.1111111111111111,0.0476190476190476
YJR076C,CDC11,cdc11-2,tsa82-37C,688,339,0.4927325581395348,1.0,0.0855457227138643,0.0619469026548672,0.0884955752212389,0.0914454277286135,0.0117994100294985,0.0088495575221238,0.0324483775811209,0.1297935103244837,0.0766961651917404,0.1327433628318584,0.2182890855457227,0.0619469026548672
YDL030W,PRP9,prp9-ts,tsa361-37C,324,146,0.4506172839506173,1.0,0.0821917808219178,0.0753424657534246,0.0890410958904109,0.0410958904109589,0.0410958904109589,0.0273972602739726,0.1232876712328767,0.184931506849315,0.0205479452054794,0.047945205479452,0.1232876712328767,0.1438356164383561
YPL082C,MOT1,mot1-1033,tsa363-37C,327,134,0.4097859327217125,1.0,0.0074626865671641,0.0298507462686567,0.0746268656716417,0.0149253731343283,0.0522388059701492,0.0,0.0522388059701492,0.2313432835820895,0.0223880597014925,0.1044776119402985,0.2686567164179104,0.1417910447761194
YPR055W,SEC8,sec8-6,tsa364-37C,616,354,0.5746753246753247,1.0,0.019774011299435,0.0734463276836158,0.0875706214689265,0.0254237288135593,0.0254237288135593,0.019774011299435,0.0338983050847457,0.1468926553672316,0.019774011299435,0.1186440677966101,0.2570621468926554,0.1723163841807909
YGL145W,TIP20,tip20-5,tsa271-37C,464,262,0.5646551724137931,1.0,0.015267175572519,0.0267175572519083,0.0610687022900763,0.0305343511450381,0.0114503816793893,0.0038167938931297,0.0839694656488549,0.2595419847328244,0.0305343511450381,0.0381679389312977,0.2519083969465648,0.1870229007633587
YDL043C,PRP11,prp11-ts,tsa369-37C,693,339,0.4891774891774891,1.0,0.1120943952802359,0.0619469026548672,0.0707964601769911,0.0117994100294985,0.0265486725663716,0.0058997050147492,0.0589970501474926,0.1946902654867256,0.0383480825958702,0.0737463126843657,0.2271386430678466,0.1179941002949852
YBL076C,ILS1,ils1-1,tsa275-37C,885,333,0.376271186440678,1.0,0.09009009009009,0.045045045045045,0.093093093093093,0.018018018018018,0.009009009009009,0.0,0.042042042042042,0.1651651651651651,0.039039039039039,0.0960960960960961,0.2432432432432432,0.1591591591591591
YDR356W,SPC110,spc110-221,tsa276-37C,692,164,0.2369942196531791,1.0,0.073170731707317,0.0304878048780487,0.0853658536585365,0.0609756097560975,0.0121951219512195,0.0,0.1097560975609756,0.1097560975609756,0.1158536585365853,0.1402439024390244,0.1707317073170731,0.0914634146341463
YER133W,GLC7,glc7-12,tsa185-37C,573,246,0.4293193717277487,1.0,0.024390243902439,0.0609756097560975,0.1138211382113821,0.0447154471544715,0.0121951219512195,0.0,0.073170731707317,0.1504065040650406,0.0528455284552845,0.0772357723577235,0.2276422764227642,0.1626016260162601
YGR120C,COG2,cog2-1,tsa187-37C,1006,527,0.5238568588469185,1.0,0.0151802656546489,0.0455407969639468,0.1233396584440227,0.0189753320683111,0.0265654648956356,0.0094876660341555,0.0360531309297912,0.1669829222011385,0.0265654648956356,0.0702087286527514,0.3130929791271347,0.1480075901328273
YOR326W,MYO2,myo2-16,tsa337-37C,1155,423,0.3662337662337662,1.0,0.1654846335697399,0.0378250591016548,0.0260047281323877,0.0165484633569739,0.0189125295508274,0.0118203309692671,0.0378250591016548,0.1843971631205673,0.0449172576832151,0.1442080378250591,0.2198581560283688,0.0921985815602836
YNR011C,PRP2,prp2-1,tsa338-37C,764,379,0.4960732984293193,1.0,0.1055408970976253,0.0554089709762532,0.1160949868073878,0.0369393139841688,0.0184696569920844,0.0026385224274406,0.0659630606860158,0.1530343007915567,0.0369393139841688,0.0923482849604221,0.179419525065963,0.1372031662269129
YGR113W,DAM1,dam1-9,tsa243-37C,1409,403,0.2860184528034066,1.0,0.0297766749379652,0.0446650124069478,0.1315136476426799,0.0272952853598014,0.0074441687344913,0.0,0.0942928039702233,0.1166253101736972,0.0471464019851116,0.0918114143920595,0.2779156327543424,0.1315136476426799
