ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-11,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCL063W,VAC17,,dma520,1461,200,0.136892539356605,1.0,0.325,0.02,0.0,0.205,0.0,0.0,0.2,0.0,0.115,0.07,0.015,0.05
YDR289C,RTT103,,dma1037,1630,223,0.1368098159509202,1.0,0.2556053811659193,0.0224215246636771,0.0044843049327354,0.0403587443946188,0.0,0.0,0.1390134529147982,0.0,0.0134529147982062,0.2152466367713004,0.3049327354260089,0.0044843049327354
YER161C,SPT2,,dma1464,1616,256,0.1584158415841584,1.0,0.33203125,0.01953125,0.0,0.04296875,0.0,0.0,0.1015625,0.0,0.01171875,0.1640625,0.32421875,0.00390625
YGL124C,MON1,,dma1674,1828,490,0.2680525164113785,1.0,0.3959183673469387,0.046938775510204,0.0020408163265306,0.1061224489795918,0.0,0.0,0.1326530612244898,0.0,0.0081632653061224,0.1489795918367347,0.1571428571428571,0.0020408163265306
YGL024W,,,dma1619,510,196,0.3843137254901961,1.0,0.4540816326530612,0.0,0.0,0.0,0.0,0.0,0.1581632653061224,0.0,0.0306122448979591,0.1530612244897959,0.1989795918367347,0.0051020408163265
YGR229C,SMI1,,dma1990,1816,253,0.1393171806167401,1.0,0.3794466403162055,0.0434782608695652,0.0118577075098814,0.067193675889328,0.0,0.0,0.1146245059288537,0.0,0.0276679841897233,0.1264822134387351,0.225296442687747,0.0039525691699604
YHR041C,SRB2,,dma2104,1009,122,0.1209117938553022,1.0,0.2295081967213114,0.0,0.0,0.081967213114754,0.0,0.0,0.1393442622950819,0.0,0.0245901639344262,0.1065573770491803,0.4098360655737705,0.0081967213114754
YJL036W,SNX4,,dma2471,1146,177,0.1544502617801047,1.0,0.2937853107344633,0.0169491525423728,0.0112994350282485,0.0790960451977401,0.0,0.0,0.231638418079096,0.0,0.0508474576271186,0.1186440677966101,0.1864406779661017,0.0112994350282485
YKL048C,ELM1,,dma2781,243,62,0.2551440329218107,1.0,0.3387096774193548,0.0,0.0161290322580645,0.032258064516129,0.0,0.0,0.1935483870967742,0.0,0.1129032258064516,0.0806451612903225,0.2258064516129032,0.0
YKL127W,PGM1,,dma2853,2190,339,0.1547945205479452,1.0,0.3657817109144542,0.023598820058997,0.0029498525073746,0.0678466076696165,0.0,0.0,0.1533923303834808,0.0,0.0029498525073746,0.1268436578171091,0.2566371681415929,0.0
YJR118C,ILM1,,dma2723,924,137,0.1482683982683982,1.0,0.4087591240875912,0.0291970802919708,0.0,0.1167883211678832,0.0,0.0,0.2116788321167883,0.0,0.0145985401459854,0.1094890510948905,0.1094890510948905,0.0
YKR042W,UTH1,,dma2959,1062,194,0.1826741996233521,1.0,0.0927835051546391,0.0051546391752577,0.0103092783505154,0.0103092783505154,0.0,0.0,0.1855670103092783,0.0,0.0206185567010309,0.1701030927835051,0.4948453608247423,0.0103092783505154
YKL041W,VPS24,,dma2763,1008,184,0.1825396825396825,1.0,0.3043478260869565,0.0543478260869565,0.0326086956521739,0.0652173913043478,0.0,0.0,0.1032608695652173,0.0,0.1032608695652173,0.1576086956521739,0.1358695652173913,0.0434782608695652
YLR111W,,,dma3197,2037,451,0.2214040255277368,1.0,0.2195121951219512,0.0310421286031042,0.0044345898004434,0.1330376940133037,0.0,0.0,0.155210643015521,0.0,0.0110864745011086,0.1818181818181818,0.2594235033259423,0.0044345898004434
YLR110C,CCW12,,dma3198,1626,433,0.2662976629766297,1.0,0.2517321016166282,0.0069284064665127,0.0023094688221709,0.1039260969976905,0.0,0.0,0.1639722863741339,0.0,0.0554272517321016,0.1939953810623556,0.207852193995381,0.0138568129330254
YLR342W,FKS1,,dma3377,2612,359,0.1374425727411944,1.0,0.3342618384401114,0.0278551532033426,0.0083565459610027,0.1671309192200557,0.0,0.0,0.1030640668523676,0.0,0.0250696378830083,0.1671309192200557,0.1643454038997214,0.0027855153203342
YOL064C,MET22,,dma4348,2002,564,0.2817182817182817,1.0,0.4148936170212766,0.0212765957446808,0.0,0.0195035460992907,0.0,0.0,0.1968085106382978,0.0,0.0106382978723404,0.1418439716312056,0.1897163120567375,0.0053191489361702
